,model,Loss(Cross_entropy),Train_Acc,Validation_Acc,Test_Acc,Total_Epoch,Total_Duration,TimeStamp
0,HeteroRGCN,0.41787204146385193,0.9241666793823242,0.7866666913032532,0.7811447978019714,20,0:00:05,2021-06-27 17:56:35
0,HAN,0.3301704227924347,0.8716666666666667,0.8333333333333334,0.8400673400673401,20,0:00:49,2021-06-27 17:57:25
0,HeteroRGCN,0.11036919802427292,0.9950000047683716,0.9300000071525574,0.9343434572219849,40,0:00:06,2021-06-27 17:57:31
0,HAN,0.19656327366828918,0.9333333333333333,0.83,0.867003367003367,40,0:01:36,2021-06-27 17:59:07
0,HeteroRGCN,0.03761648014187813,1.0,0.9633333086967468,0.9680134654045105,60,0:00:09,2021-06-27 17:59:17
0,HAN,0.1779087334871292,0.9366666666666666,0.8433333333333334,0.8602693602693603,60,0:02:24,2021-06-27 18:01:41
0,HeteroRGCN,0.018344396725296974,1.0,0.9700000286102295,0.9764309525489807,80,0:00:13,2021-06-27 18:01:54
0,HAN,0.13779298961162567,0.9558333333333333,0.8433333333333334,0.8602693602693603,80,0:03:13,2021-06-27 18:05:07
0,HeteroRGCN,0.014451955445110798,1.0,0.9733333587646484,0.9797979593276978,100,0:00:16,2021-06-27 18:05:23
0,HAN,0.12297426909208298,0.9608333333333333,0.8466666666666667,0.8552188552188552,100,0:04:10,2021-06-27 18:09:33
0,HeteroRGCN,0.01277798693627119,1.0,0.9733333587646484,0.9831649661064148,120,0:00:19,2021-06-27 18:09:52
0,HAN,0.10522094368934631,0.9641666666666666,0.8466666666666667,0.8585858585858586,120,0:04:58,2021-06-27 18:14:50
0,HeteroRGCN,0.009530107490718365,1.0,0.9766666889190674,0.9898989796638489,140,0:00:24,2021-06-27 18:15:14
0,HAN,0.12542876601219177,0.9475,0.84,0.8569023569023569,140,0:05:47,2021-06-27 18:21:01
